Review,Actual Sentiment,Sentiment Score
like took pride prejudice cinderella jane eyre little woman rolled together squeezed character developed drama top used modern music period correct musician added new level cringe heard itwhere good writer go,Negative,0.2414772727272727
wish people would look beyond colour factious period drama black people duke lady etc,Positive,-0.16666666666666666
hooked first episode love diversity amongst actorscharacters mix downton abbey gossip girl work,Positive,0.375
know actually somewhat entertaining watching lowiqers think theyre actor however quickly becomes tiresome wokness antieuropean fake history displayed lowiq series rewarded netflix cancelled subscription good luck netflix,Negative,0.08888888888888886
delightful escape bad story costume actor etc good comment race here bit history queen charlotte descended black portuguese royal line black also regency period black aristocrat albeit number exist nevertheless fictional account period history told today rule color skin matter come character show hamilton paved way certainly hope continues move away typecasting film,Positive,0.0892857142857143
duke duchess one white one tan deceiving family friend firstborn son named areal rubbish difficult tell one bothered real ridiculous charade attention read money rubbish well eight hour one life squanderedmiss austen would much amused m cast thousand come even close genius created small table twouptwodown modest housesnetflix try harder stop hiring poseur who talent pirate plagiarize betterseven weather phony,Negative,-0.15
billed modern classic fails hit mark every way two main foundation production script acting appallingly bad good form bad make least laughable set costume good look especially location acting bad actor ive seen better one infant school play decided vandalize every scene ruin location like watching total rubbish poorly written dreadfully acted dont waste time,Negative,-0.1350877192982456
terrible dialog cliche galore lack even hint detail make poor period drama saccharine sweet chick flick low rate gossip girl script leave genre warrant little pedigree care required handle ala dumbing televisual art continues avoid,Negative,-0.24749999999999997
really dont understand negative review series respect everyones opinion big fan historical show probably would never watched recommended friend pleasant surprise series enjoyed every second series nothing history fiction story simply set past lovely setting amazing wardrobe lovely cast smart engaging story line looking romantic series set alternative past simply based fiction enjoy serious history portrayed meaning strictly keep fact steer away show historical series personal level looking forward season,Positive,0.13877551020408163
absolute caricature th century regency britain clearly written produced american bbc much better ironically say american strong anglophile gratuitous sex season one luckily waned season two season two least interesting dramatic arc though still struggle find true dramatic benefit revealing lady whistledown end season dont understand actual british actor somehow sound like putting accent watched curiosity clearly word mouth interest,Negative,0.07352941176470588
historically accurate ok change history suit time absolutely dont get absolute ignorance comment color skin doesnt matter costume scenery beautiful dialogue funny story engaging thats,Positive,0.39999999999999997
yes gossip girl brazen show dame julie andrew amazing narrator depiction regency era london society season absolutely brilliant love element wendy darling jane austen much ado cinderella modern aspect gg molded brilliant fictional historical dramady actor writer director work together perfect trifecta effervescent bubble costume scenery diamond show,Positive,0.47777777777777786
costume great set perfectly lush really dont care writing acting pacing people screaming historical accuracy need get,Negative,0.22000000000000003
cant understand entertainment value american get bad scriptwriting show take place europe par emily paris complete crap forgettable,Neutral,-0.38
read book normally one love period drama family found one best period drama around loved casted,Positive,0.5874999999999999
fantastical soap opera period piece diverse cast utterly swoonworthy also appreciate new face none bring prior character theyre known story im keeping fingerscrossed there season come apparently book series total one bridgeton sibling aside main character really enjoyed eloise played claudia jessie,Positive,0.12186147186147187
one nice guilty pleasure released quite snobbish didnt watch glad changed mind really enjoyed let skip plot focus pleasure eye garden tea party oh outfit saucy sex scene mostly season though wonderful ton spoken english dont expect anything challenge brain historical accuracy go enjoy like would enjoy buttercream cake,Positive,0.33999999999999997
totally worth watching whole season rating show watching episode forbidden,Positive,0.25
book sooooo much better dont understand need change story written book series would minded story added disappointment see series played written rating didnt shut found finding distraction wasnt nearly magical,Negative,0.13333333333333333
really dont want feel watch period drama cast eye blm movement apart poorly scripted acting wooden set good there really much else going,Negative,0.11666666666666665
bridgerton classic regency era costume dramaseason one firework romance side season two le firework single story linei watched plenty drama going way back claudius pbsthey vary quality depending creatorsbridgerton likeable middle road dramanot top bottom packi particular enjoy lady whistle poking fun aristocratic class,Neutral,0.18273809523809523
usually dont like adaptation book one though exeption loved first season set information character evwn first book specially loved georgemarinaphilip subplot,Positive,0.32999999999999996
opinion best series ever created representativeness series brought incredible im love looking forward second season,Positive,0.6
perfect adaptation julia quinns book addition incredible diverse cast brings lot representativeness important nowadays really sad many people talking badly good series disgusting racism anyway watch bridgerton beautiful series wont regret,Positive,0.35625
